student_username,student_idnumber,firstname,lastname,current_academic_year,target_academic_year,current_board_code,current_school_code,current_medium_code,current_grade_code,current_stream_code,current_division_code,current_cohort_code,result_status,promotion_decision,target_board_code,target_school_code,target_medium_code,target_grade_code,target_stream_code,target_division_code,target_cohort_code,new_roll_no,effective_date,remove_from_previous_cohort,update_user_profile,notify_parent,remarks
dps.stu.00021,DPS26-00021,Parth,Patel,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00022,DPS26-00022,Jiya,Shah,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00023,DPS26-00023,Dev,Desai,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00024,DPS26-00024,Mahi,Mehta,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00025,DPS26-00025,Neil,Joshi,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00026,DPS26-00026,Tara,Trivedi,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00027,DPS26-00027,Harsh,Parmar,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00028,DPS26-00028,Aesha,Solanki,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00029,DPS26-00029,Yash,Thakkar,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00030,DPS26-00030,Kiara,Prajapati,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00031,DPS26-00031,Rudra,Chauhan,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00032,DPS26-00032,Janvi,Rathod,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00033,DPS26-00033,Om,Vyas,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00034,DPS26-00034,Pihu,Dave,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00035,DPS26-00035,Manan,Bhatt,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00036,DPS26-00036,Hetvi,Panchal,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00037,DPS26-00037,Aryan,Makwana,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00038,DPS26-00038,Prisha,Jadeja,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00039,DPS26-00039,Shaurya,Gohil,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00040,DPS26-00040,Riddhi,Barot,2026-2027,2027-2028,GSEB,DPS,ENG,STD01,GEN,A,DPS-2026-GSEB-ENG-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,ENG,STD02,GEN,A,DPS-2027-GSEB-ENG-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00041,DPS26-00041,Darsh,Patel,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00042,DPS26-00042,Khushi,Shah,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00043,DPS26-00043,Ved,Desai,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00044,DPS26-00044,Niyati,Mehta,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00045,DPS26-00045,Jay,Joshi,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00046,DPS26-00046,Aarohi,Trivedi,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00047,DPS26-00047,Samarth,Parmar,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00048,DPS26-00048,Tanvi,Solanki,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00049,DPS26-00049,Rohan,Thakkar,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00050,DPS26-00050,Bhakti,Prajapati,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00051,DPS26-00051,Aarav,Chauhan,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00052,DPS26-00052,Aditi,Rathod,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00053,DPS26-00053,Vihaan,Vyas,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00054,DPS26-00054,Ananya,Dave,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00055,DPS26-00055,Ishaan,Bhatt,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00056,DPS26-00056,Diya,Panchal,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00057,DPS26-00057,Kabir,Makwana,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00058,DPS26-00058,Myra,Jadeja,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00059,DPS26-00059,Reyansh,Gohil,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00060,DPS26-00060,Saanvi,Barot,2026-2027,2027-2028,GSEB,DPS,HIN,STD01,GEN,A,DPS-2026-GSEB-HIN-STD01-GEN-A,PENDING,PROMOTED,GSEB,DPS,HIN,STD02,GEN,A,DPS-2027-GSEB-HIN-STD02-GEN-A,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00061,DPS26-00061,Krish,Patel,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,B,DPS-2027-GSEB-GUJ-STD02-GEN-B,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00062,DPS26-00062,Riya,Shah,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,B,DPS-2027-GSEB-GUJ-STD02-GEN-B,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00063,DPS26-00063,Arjun,Desai,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,B,DPS-2027-GSEB-GUJ-STD02-GEN-B,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00064,DPS26-00064,Avni,Mehta,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,B,DPS-2027-GSEB-GUJ-STD02-GEN-B,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00065,DPS26-00065,Vivaan,Joshi,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,B,DPS-2027-GSEB-GUJ-STD02-GEN-B,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00066,DPS26-00066,Ira,Trivedi,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,B,DPS-2027-GSEB-GUJ-STD02-GEN-B,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00067,DPS26-00067,Dhruv,Parmar,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,B,DPS-2027-GSEB-GUJ-STD02-GEN-B,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00068,DPS26-00068,Kavya,Solanki,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,B,DPS-2027-GSEB-GUJ-STD02-GEN-B,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00069,DPS26-00069,Atharv,Thakkar,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,B,DPS-2027-GSEB-GUJ-STD02-GEN-B,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
dps.stu.00070,DPS26-00070,Nisha,Prajapati,2026-2027,2027-2028,GSEB,DPS,GUJ,STD01,GEN,B,DPS-2026-GSEB-GUJ-STD01-GEN-B,PENDING,PROMOTED,GSEB,DPS,GUJ,STD02,GEN,B,DPS-2027-GSEB-GUJ-STD02-GEN-B,,2027-04-01,0,0,1,Review Grade 10 stream selection and Grade 12 alumni handling manually.
